Fuel Type Code,Station Name,City,State,ZIP,Groups With Access Code,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,,,,
ELEC,REI,Seattle,WA,98109,Public - Card key at all times,,1,2,,,,
ELEC,Conoco,Ritzville,WA,99169,Public - Card key at all times,,,1,,,,
ELEC,Tacoma Mall,Tacoma,WA,98409,Public - Card key at all times,,2,3,,,,
ELEC,Seattle Premium Outlets,Marysville,WA,98271,Public - Card key at all times,,3,1,,,,
ELEC,North Bend Premium Outlets,North Bend,WA,98045,Public - Card key at all times,,2,2,,,,
ELEC,Northgate Mall,Seattle,WA,98125,Public - Card key at all times,,3,1,,,,
ELEC,Harvard Market,Seattle,WA,98122,Public - Card key at all times,,,1,,,,
ELEC,The Landing,Renton,WA,98057,Public - Card key at all times,,,2,,,,
ELEC,Walmart,Woodland,WA,98674,Public - Card key at all times,,,1,,,,
ELEC,New Seasons,Mercer Island,WA,98040,Public - Card key at all times,,,2,,,,
ELEC,AAA,Lynnwood,WA,98036,Public - Card key at all times,,,1,,,,
ELEC,San Juan Islands Conservation District,Friday Harbor,WA,98250,Public,,1,,,,,
ELEC,Avalon Business Park,Friday Harbor,WA,98250,Public,,1,,,,,
ELEC,Earthbox Inn and Spa,Friday Harbor,WA,98250,Public - Call ahead,,2,,,,,
ELEC,Friday Harbor Grand Bed and Breakfast,Friday Harbor,WA,98250,Public - Call ahead,,1,,,,,
ELEC,Sweet Earth Farm,Friday Harbor,WA,98250,Public - Call ahead,,1,,,,,
ELEC,Odd Fellows Hall,Eastsound,WA,98245,Public,,1,,,,,
ELEC,Rosario Resort,Eastsound,WA,98245,Public - Call ahead,,2,,,,,
ELEC,Doe Bay Resort,Olga,WA,98279,Public,,1,,,,,
ELEC,Lopez Island Library,Lopez,WA,98261,Public - Call ahead,,1,,,,,
ELEC,Lopez Community Land Trust,Lopez,WA,98261,Public,,1,,,,,
ELEC,CENTRAL PIERCE CPFR 60 1,Spanaway,WA,98445,Public,,2,,,,,
ELEC,CENTRAL PIERCE CPFR 60 2,Spanaway,WA,98387,Public,,2,,,,,
ELEC,RPNW FC #1,Seattle,WA,98101,Public,,2,,,,,
ELEC,Costco,Issaquah,WA,98027,Public,,2,,,,,
ELEC,Hampton Inn,Redmond,WA,98053,Public - Call ahead,,4,,,,,
ELEC,Hampton Inn,Woodinville,WA,98072,Public - Call ahead,,2,,,,,
ELEC,FRED MEYER - #095 Everett,Everett,WA,98204,Public,,2,,,,,
ELEC,Clark Public Utilities - Administration Building,Vancouver,WA,98663,Public,,,2,,,,
ELEC,MasterPark Valet Garage,SeaTac,WA,98188,Public,,4,,,,,
